title,price,rating,reviews,availability
Sony Playstation PS4 1TB Black Console,$298.99,4.6 out of 5 stars,"1,568 ratings",
"citnh wireless controller for ps4,compatible with ps4/slim/pro and windows pc,6-axis gyro/multi touch pad/3.5mm audio jack/800mah battery and speaker",$23.99,4.1 out of 5 stars,8 ratings,In Stock
"Playstation Sony 4, 500GB Slim System [CUH-2215AB01], Black, 3003347",$224.99,4.3 out of 5 stars,374 ratings,Only 8 left in stock - order soon.
PlayStation®4 Console – Call of Duty® Modern Warfare II Bundle,$379.90,4.5 out of 5 stars,120 ratings,In Stock
PlayStation 4 Slim 1TB Console - Marvel's Spider-Man Bundle [Discontinued],$271.37,4.6 out of 5 stars,"2,820 ratings",Only 1 left in stock - order soon.
PlayStation 4 Slim 1TB Console,$369.99,4.7 out of 5 stars,"15,740 ratings",
PlayStation 4 500GB Console - Call of Duty Black Ops III Bundle [Discontinued],$241.99,4.6 out of 5 stars,"2,005 ratings",Only 1 left in stock - order soon.
PlayStation 4 Slim 1TB Console,$249.99,4.2 out of 5 stars,312 ratings,
Sony PlayStation 4 Pro 1TB Console - Black (PS4 Pro),$254.88,4.4 out of 5 stars,"4,136 ratings",Only 3 left in stock - order soon.
PlayStation 4 Slim 500GB Console [Discontinued],$196.99,4.5 out of 5 stars,"1,912 ratings",Only 1 left in stock - order soon.
"FASIGO PS4 Controller 2 Pack, Wireless PS4 Controller for PS4 / Pro/Slim & PC, with 2 USB C Cable - Black",$31.98,4.2 out of 5 stars,551 ratings,In Stock
PlayStation 4 Slim 1TB Limited Edition Console - Call of Duty WWII Bundle [Discontinued],$299.99,4.4 out of 5 stars,737 ratings,Only 1 left in stock - order soon.
PlayStation 4 Slim 500GB Console - Uncharted 4 Bundle Discontinued,$244.95,4.8 out of 5 stars,"6,500 ratings",
"PS4 Controller Charger Dock Station, OIVO 1.8Hrs PS4 Controller Charging Dock, Charging Station Replacement for PlayStation 4 Dualshock 4 Charger",$14.99 with 25 percent savings,4.7 out of 5 stars,"39,620 ratings",In Stock
$250 PlayStation Store Gift Card [Digital Code],$250.00,4.6 out of 5 stars,"262,791 ratings",Available now
Star Wars Jedi: Survivor - PlayStation 4,$19.97 with 60 percent savings,4.0 out of 5 stars,20 ratings,In Stock
Sony Playstation 4 Slim(CUH-2215B) 1TB Core with Starter Pack Bundle-(Jet Black),$349.99,3.8 out of 5 stars,31 ratings,Only 1 left in stock - order soon.
Sony PlayStation 2 Console - Black (Renewed),$169.29,4.0 out of 5 stars,"1,529 ratings",
Xbox 360 250GB Slim Console - (Renewed),$148.99,3.8 out of 5 stars,862 ratings,
"Sony Playstation 3 160GB CECH-3001A, Console Only (Renewed)",$149.99,4.1 out of 5 stars,382 ratings,Only 5 left in stock - order soon.
"Gaming Headset for PS5, PS4, PC, Gaming Headphones with Noise Cancelling Microphone, Over-Ear Gamer Headset with Stereo Sound for Laptop Switch Xbox (Black)",$19.99 with 17 percent savings,4.3 out of 5 stars,164 ratings,In Stock
"Turtle Beach Stealth 700 Gen 3 Wireless Multiplatform Amplified Gaming Headset for PS5, PS4, PC, Mobile – 60mm Drivers, AI Noise-Cancelling Mic, Bluetooth, 80-Hr Battery, Dual Transmitters – Black",$199.99,4.1 out of 5 stars,95 ratings,In Stock
"Wired Gaming Headset with Adjustable Dual Microphone for PS4, Xbox, laptop, Mobile, Esports Earbuds, Cartilage Design for Inline Control of Hands-Free Calls. (Green)",$12.99,4.2 out of 5 stars,,Only 7 left in stock - order soon.
